rep_id,account_id,assignment_start_date,assignment_end_date
0,1,2024-01-01,
0,5,2024-01-01,
0,9,2024-01-01,
0,13,2024-01-01,
0,14,2024-01-01,
0,21,2024-01-01,
0,22,2024-01-01,
0,24,2024-01-01,
0,27,2024-01-01,
0,32,2024-01-01,
0,33,2024-01-01,
0,35,2024-01-01,
0,37,2024-01-01,
0,40,2024-01-01,
0,49,2024-01-01,
0,51,2024-01-01,
0,56,2024-01-01,
0,62,2024-01-01,
0,66,2024-01-01,
0,71,2024-01-01,
0,76,2024-01-01,
0,80,2024-01-01,
0,86,2024-01-01,
0,88,2024-01-01,
0,91,2024-01-01,
0,93,2024-01-01,
0,95,2024-01-01,
0,101,2024-01-01,
0,102,2024-01-01,
0,103,2024-01-01,
0,109,2024-01-01,
0,110,2024-01-01,
0,112,2024-01-01,
0,113,2024-01-01,
0,114,2024-01-01,
0,118,2024-01-01,
0,119,2024-01-01,
0,120,2024-01-01,
0,128,2024-01-01,
0,136,2024-01-01,
0,141,2024-01-01,
0,142,2024-01-01,
0,145,2024-01-01,
0,153,2024-01-01,
0,155,2024-01-01,
0,162,2024-01-01,
0,163,2024-01-01,
0,164,2024-01-01,
0,169,2024-01-01,
0,174,2024-01-01,
0,175,2024-01-01,
0,176,2024-01-01,
0,179,2024-01-01,
0,182,2024-01-01,
0,184,2024-01-01,
0,188,2024-01-01,
0,190,2024-01-01,
0,194,2024-01-01,
0,198,2024-01-01,
0,199,2024-01-01,
0,201,2024-01-01,
0,203,2024-01-01,
0,213,2024-01-01,
0,219,2024-01-01,
0,221,2024-01-01,
0,224,2024-01-01,
0,225,2024-01-01,
0,227,2024-01-01,
0,238,2024-01-01,
0,245,2024-01-01,
0,251,2024-01-01,
0,252,2024-01-01,
0,255,2024-01-01,
0,262,2024-01-01,
0,263,2024-01-01,
0,265,2024-01-01,
0,271,2024-01-01,
0,274,2024-01-01,
0,277,2024-01-01,
0,284,2024-01-01,
0,285,2024-01-01,
0,286,2024-01-01,
0,294,2024-01-01,
0,298,2024-01-01,
0,299,2024-01-01,
0,300,2024-01-01,
0,306,2024-01-01,
0,308,2024-01-01,
0,311,2024-01-01,
0,317,2024-01-01,
0,320,2024-01-01,
0,322,2024-01-01,
0,323,2024-01-01,
0,324,2024-01-01,
0,329,2024-01-01,
0,332,2024-01-01,
0,333,2024-01-01,
0,337,2024-01-01,
0,340,2024-01-01,
0,342,2024-01-01,
0,343,2024-01-01,
0,349,2024-01-01,
0,350,2024-01-01,
0,351,2024-01-01,
0,359,2024-01-01,
0,363,2024-01-01,
0,366,2024-01-01,
0,367,2024-01-01,
0,371,2024-01-01,
0,377,2024-01-01,
0,378,2024-01-01,
0,379,2024-01-01,
0,380,2024-01-01,
0,383,2024-01-01,
0,388,2024-01-01,
0,389,2024-01-01,
0,394,2024-01-01,
0,395,2024-01-01,
0,402,2024-01-01,
0,403,2024-01-01,
0,406,2024-01-01,
0,407,2024-01-01,
0,408,2024-01-01,
0,410,2024-01-01,
0,411,2024-01-01,
0,414,2024-01-01,
0,415,2024-01-01,
0,418,2024-01-01,
0,423,2024-01-01,
0,429,2024-01-01,
0,430,2024-01-01,
0,441,2024-01-01,
0,442,2024-01-01,
0,443,2024-01-01,
0,448,2024-01-01,
0,450,2024-01-01,
0,451,2024-01-01,
0,457,2024-01-01,
0,459,2024-01-01,
0,460,2024-01-01,
0,464,2024-01-01,
0,468,2024-01-01,
0,471,2024-01-01,
0,474,2024-01-01,
0,479,2024-01-01,
0,480,2024-01-01,
0,489,2024-01-01,
0,495,2024-01-01,
0,498,2024-01-01,
0,499,2024-01-01,
0,500,2024-01-01,
0,504,2024-01-01,
0,505,2024-01-01,
0,509,2024-01-01,
0,511,2024-01-01,
0,512,2024-01-01,
0,513,2024-01-01,
0,514,2024-01-01,
0,515,2024-01-01,
0,516,2024-01-01,
0,520,2024-01-01,
0,532,2024-01-01,
0,533,2024-01-01,
0,534,2024-01-01,
0,538,2024-01-01,
0,540,2024-01-01,
0,541,2024-01-01,
0,542,2024-01-01,
0,543,2024-01-01,
0,549,2024-01-01,
0,555,2024-01-01,
0,557,2024-01-01,
0,558,2024-01-01,
0,559,2024-01-01,
0,563,2024-01-01,
0,567,2024-01-01,
0,568,2024-01-01,
0,569,2024-01-01,
0,573,2024-01-01,
0,574,2024-01-01,
0,586,2024-01-01,
0,591,2024-01-01,
0,597,2024-01-01,
0,599,2024-01-01,
0,602,2024-01-01,
0,603,2024-01-01,
0,606,2024-01-01,
0,607,2024-01-01,
0,611,2024-01-01,
0,613,2024-01-01,
0,624,2024-01-01,
0,625,2024-01-01,
0,628,2024-01-01,
0,629,2024-01-01,
0,630,2024-01-01,
0,633,2024-01-01,
0,634,2024-01-01,
0,638,2024-01-01,
0,642,2024-01-01,
0,644,2024-01-01,
0,645,2024-01-01,
0,647,2024-01-01,
0,650,2024-01-01,
0,652,2024-01-01,
0,654,2024-01-01,
0,656,2024-01-01,
0,657,2024-01-01,
0,666,2024-01-01,
0,667,2024-01-01,
0,669,2024-01-01,
0,679,2024-01-01,
0,680,2024-01-01,
0,689,2024-01-01,
0,692,2024-01-01,
0,696,2024-01-01,
0,697,2024-01-01,
0,700,2024-01-01,
0,704,2024-01-01,
0,706,2024-01-01,
0,718,2024-01-01,
0,719,2024-01-01,
0,723,2024-01-01,
0,724,2024-01-01,
0,728,2024-01-01,
0,735,2024-01-01,
0,742,2024-01-01,
0,743,2024-01-01,
0,750,2024-01-01,
0,757,2024-01-01,
0,758,2024-01-01,
0,759,2024-01-01,
0,764,2024-01-01,
0,765,2024-01-01,
0,769,2024-01-01,
0,770,2024-01-01,
0,773,2024-01-01,
0,781,2024-01-01,
0,787,2024-01-01,
0,795,2024-01-01,
0,798,2024-01-01,
0,804,2024-01-01,
0,805,2024-01-01,
0,806,2024-01-01,
0,809,2024-01-01,
0,810,2024-01-01,
0,811,2024-01-01,
0,812,2024-01-01,
0,813,2024-01-01,
0,819,2024-01-01,
0,823,2024-01-01,
0,826,2024-01-01,
0,827,2024-01-01,
0,830,2024-01-01,
0,831,2024-01-01,
0,833,2024-01-01,
0,837,2024-01-01,
0,841,2024-01-01,
0,845,2024-01-01,
0,851,2024-01-01,
0,857,2024-01-01,
0,861,2024-01-01,
0,863,2024-01-01,
0,865,2024-01-01,
0,876,2024-01-01,
0,881,2024-01-01,
0,887,2024-01-01,
0,890,2024-01-01,
0,891,2024-01-01,
0,896,2024-01-01,
0,897,2024-01-01,
0,903,2024-01-01,
0,904,2024-01-01,
0,907,2024-01-01,
0,909,2024-01-01,
0,912,2024-01-01,
0,913,2024-01-01,
0,914,2024-01-01,
0,915,2024-01-01,
0,916,2024-01-01,
0,925,2024-01-01,
